competency_id,batch_id,title,description,related_skills,related_skills_with_bloom,skill_focus,soft_skills_required,soft_skills_description,kkni_level,kkni_floor,kkni_descriptor,future_relevance,all_skills_human_verified,human_quality,human_relevant,human_skill_focus,human_notes,reviewer_id
C2_b37,37,Business Data Analysis for Value Creation,"Analyze business data to identify patterns, trends, and insights, and evaluate how these findings can be translated into actionable recommendations that deliver value.","[""analyze business data"", ""turn analysis into business impact"", ""deliver value-added business analysis"", ""solve business challenges""]",analyze business data (Bloom: Analyze); turn analysis into business impact (Bloom: Apply); deliver value-added business analysis (Bloom: Evaluate); solve business challenges (Bloom: Apply),Hard,think critically; solve problems; communicate ideas; understand business needs; work independently,"Critical thinking and problem-solving are needed to analyze data, while communication skills are essential to present findings and recommendations effectively.",6,6,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","The ability to extract meaningful insights from data is fundamental to innovation and operational efficiency, ensuring continued relevance in an increasingly data-centric economy.",False,,,,,
C1_b1,1,Data Analytics Instruction and Communication,"Design and deliver effective data analytics instruction by structuring learning materials, selecting appropriate teaching methods, and communicating complex analytical concepts clearly to diverse audiences.","[""teach data analytics""]",teach data analytics (Bloom: Apply),Hard,communicate effectively; collaborate with team; adapt to change; think critically; manage time; mentor junior staff,"Effective communication and collaboration are needed to tailor instruction, while critical thinking and adaptability help address diverse learner needs and evolving content.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","As data literacy becomes a core workforce requirement, the ability to effectively teach and communicate data analytics concepts is critical for scaling skills and enabling informed decision-making across organizations.",False,,,,,
C1_b69,69,Digital Design and Technical Documentation,Create precise technical drawings and digital models by applying CAD software tools to translate design specifications into detailed visual representations.,"[""use CAD systems"", ""produce technical drawings"", ""use AutoCAD""]",use CAD systems (Bloom: Apply); produce technical drawings (Bloom: Create); use AutoCAD (Bloom: Apply),Hard,work independently; deliver high-quality work; think critically; solve problems; communicate effectively,"Learners need to work independently with precision, solve technical problems, and communicate design details clearly.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Technical documentation and digital modeling remain foundational for manufacturing, engineering, and design sectors, with CAD skills adapting to new digital twin and 3D modeling technologies.",False,,,,,
C1_b57,57,Design and Implement Audio Systems,"Design and implement audio systems for various applications by selecting appropriate hardware and software components, and configuring them to meet specified acoustic and functional requirements.","[""design audio systems"", ""install audio systems"", ""operate audio systems for concerts and events""]",design audio systems (Bloom: Create); install audio systems (Bloom: Apply); operate audio systems for concerts and events (Bloom: Evaluate),Hard,solve problems; think critically; work independently; deliver high-quality work; adapt to change,"Learners need to solve technical problems, think critically about system design, and adapt to different event requirements to deliver reliable audio support.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Audio system design and operation remain essential for live events, entertainment, and interactive media, requiring integration with modern digital and networked technologies.",False,,,,,
C3_b25,25,Analyze and Optimize Business and Industrial Processes,"Analyze and optimize industrial and business processes by evaluating workflows, developing models, and implementing improvements to increase efficiency.","[""analyse workflows"", ""develop process models"", ""optimize industrial processes"", ""streamline processes"", ""focus on process reengineering"", ""strengthen FP&A processes""]",analyse workflows (Bloom: Apply); develop process models (Bloom: Create); optimize industrial processes (Bloom: Evaluate); streamline processes (Bloom: Apply); focus on process reengineering (Bloom: Create); strengthen FP&A processes (Bloom: Apply),Hard,think critically; solve problems; understand business needs; work closely with stakeholders; communicate ideas; align stakeholders,"Learners apply critical thinking to solve problems, while communicating with stakeholders to understand business needs and align improvements.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Process optimization remains vital for operational excellence, with growing use of data-driven analysis to eliminate inefficiencies and enhance productivity.",False,,,,,
C1_b116,116,Design and Implement Network Infrastructure,"Design and implement physical network infrastructure by planning cable routes, selecting appropriate fiber and copper cabling, and installing them according to industry standards to establish reliable connectivity.","[""run fiber and copper cabling""]",run fiber and copper cabling (Bloom: Apply),Hard,work independently; solve problems; deliver high-quality work; adapt to change,"Learners need to work independently to complete installations, solve unexpected problems, maintain quality standards, and adapt to different site conditions.",4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"This competency is foundational for building and maintaining the physical layer of modern cloud and data center infrastructures, which are critical for supporting growing data and AI workloads.",False,,,,,
C1_b121,121,Integrating Multi-Tenant Platform Systems,Design and implement secure connections between tenant platforms by applying integration patterns and configuring APIs to enable data exchange and interoperability.,"[""connect tenant platforms""]",connect tenant platforms (Bloom: Apply),Hard,solve problems; think critically; work independently; adapt to change; collaborate with team,"Learners need to solve integration problems independently, think critically about system interactions, and adapt configurations while collaborating on shared platforms.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","This competency is essential for the growing ecosystem of SaaS and platform-based services, where seamless integration between systems is critical for scalability and user experience.",False,,,,,
C3_b56,56,Marketing Strategy Evaluation and Optimization,Evaluate marketing strategies and campaign effectiveness by providing feedback and analyzing data to optimize marketing investment and inform future strategic directions.,"[""inform marketing strategies"", ""optimise marketing investment"", ""provide feedback on marketing campaign effectiveness""]",inform marketing strategies (Bloom: Evaluate); optimise marketing investment (Bloom: Remember); provide feedback on marketing campaign effectiveness (Bloom: Remember),Hard,solve problems; think critically; deliver high-quality work; communicate ideas; work with stakeholders,Critical problem-solving and clear communication of ideas are required to analyze campaign data and provide actionable feedback to stakeholders.,6,6,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.",Data-driven marketing optimization is increasingly important for efficient resource allocation and demonstrating ROI in digital and technology-focused campaigns.,False,,,,,
C2_b16,16,Design Software Architectures and Layouts,"Design software architectures and user interface layouts by creating new architectures, end-to-end solutions, and layout designs to meet specified requirements.","[""design layout"", ""design improvements"", ""design solutions"", ""develop new architectures"", ""design end-to-end solutions"", ""design mixed-use projects""]",design layout (Bloom: Create); design improvements (Bloom: Create); design solutions (Bloom: Create); develop new architectures (Bloom: Create); design end-to-end solutions (Bloom: Create); design mixed-use projects (Bloom: Create),Hard,think critically; solve complex challenges; work collaboratively; communicate ideas; understand business needs,"Learners must think critically to solve complex architectural challenges, collaborating with others and communicating ideas to align designs with needs.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Architectural design is critical for scalable and maintainable systems, with growing importance in cloud-native and distributed computing environments.",False,,,,,
C1_b129,129,Designing Server Infrastructure Port Configurations,Design and document the necessary port configurations for server infrastructure by analyzing network requirements and security considerations to ensure reliable and secure communication.,"[""plan ports needed for servers""]",plan ports needed for servers (Bloom: Create),Hard,think critically; solve problems; work independently; adapt to change; deliver high-quality work,"Critical thinking and problem-solving are needed to analyze requirements and design secure configurations, while independence and adaptability ensure effective planning in dynamic technical environments.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","As cloud computing and server infrastructure continue to grow, the ability to design secure and efficient network configurations remains critical for ensuring system reliability and data protection.",False,,,,,
C3_b40,40,Administering Secure Program and System Procedures,Administer program and system procedures by creating and implementing operational protocols while adhering to established security procedures to ensure system integrity.,"[""administer program procedures"", ""work with security per procedures"", ""oversee UPS"", ""oversee daily operations""]",administer program procedures (Bloom: Create); work with security per procedures (Bloom: Apply); oversee UPS (Bloom: Apply); oversee daily operations (Bloom: Apply),Hard,work independently; manage time; deliver high-quality work; adapt to change; follow procedures meticulously,"Learners need to work independently and manage time to administer procedures, while adapting to change and meticulously following protocols to deliver secure, high-quality system operations.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Secure administration of systems remains a foundational skill, with growing importance as cyber threats increase and cloud infrastructure demands robust procedural security and reliability.",False,,,,,
C1_b23,23,Digital Product Design and Prototyping,Create and prototype the visual and interactive elements of digital products by applying user-centered design principles to produce functional mockups and design specifications.,"[""design products"", ""research, design, and prototype the look and feel of digital products"", ""ensure high-quality delivery through functional design"", ""bring thoughtful product experiences to life""]","design products (Bloom: Create); research, design, and prototype the look and feel of digital products (Bloom: Create); ensure high-quality delivery through functional design (Bloom: Create); bring thoughtful product experiences to life (Bloom: Apply)",Hard,collaborate with team; communicate effectively; solve problems; think critically; deliver high-quality work,"Learners need to communicate design ideas, solve user experience problems, and collaborate to refine prototypes based on feedback.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","User experience is a critical differentiator in digital markets, and the ability to design intuitive, engaging products is essential for meeting evolving user expectations and technological advancements.",False,,,,,
C1_b66,66,Operational Setup and Maintenance of Audiovisual Systems,"Analyze and maintain audiovisual equipment by performing routine checks, troubleshooting common issues, and configuring systems according to technical specifications to ensure operational readiness.","[""maintain AV equipment"", ""operate AV equipment"", ""setup AV equipment"", ""use a range of equipment and techniques"", ""maintain equipment""]",maintain AV equipment (Bloom: Analyze); operate AV equipment (Bloom: Evaluate); setup AV equipment (Bloom: Apply); use a range of equipment and techniques (Bloom: Apply); maintain equipment (Bloom: Analyze),Hard,work independently; solve problems; adapt to change; deliver high-quality work,"Learners need to work independently to diagnose issues, solve problems during setup, adapt to different equipment, and ensure work meets quality standards.",6,6,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni dalam penyelesaian masalah, serta beradaptasi terhadap situasi yang dihadapi. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan bagian khusus secara mendalam.","While specific AV maintenance tasks may decline, the foundational ability to configure, operate, and troubleshoot integrated hardware-software systems remains critical for supporting modern collaboration and presentation technologies.",False,,,,,
C1_b70,70,Applied Research and Technical Communication,"Create and publish technical documents, such as case studies, articles, and papers, by conducting applied research to communicate findings and solutions effectively.","[""write case studies"", ""focus on applied research"", ""write articles"", ""write papers"", ""publish papers""]",write case studies (Bloom: Create); focus on applied research (Bloom: Remember); write articles (Bloom: Create); write papers (Bloom: Create); publish papers (Bloom: Create),Hard,communicate effectively; work independently; deliver high-quality work; think critically; solve problems,"These skills enable learners to conduct rigorous research, structure clear arguments, and produce polished, credible written work.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","The ability to document and share technical knowledge through research and publication remains essential for innovation, knowledge transfer, and professional credibility in evolving tech fields.",False,,,,,
C1_b94,94,User and Context Analysis for Virtual Environments,Analyze user needs and contextual factors within virtual environments by applying observation and research methods to inform design decisions.,"[""perceive context in virtual environments"", ""understand context in virtual environments"", ""understand users""]",perceive context in virtual environments (Bloom: Apply); understand context in virtual environments (Bloom: Apply); understand users (Bloom: Apply),Hard,collaborate with team; communicate effectively; think critically; work independently; adapt to change; understand business needs,Critical thinking and communication are needed to analyze user data and collaborate with teams to translate findings into design insights.,5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","This competency is critical as virtual and augmented reality applications grow, requiring designers to create intuitive and effective user experiences grounded in real user behavior and environmental understanding.",False,,,,,
C5_b48,48,Apply and Codify Database Expertise,Apply deep database knowledge by codifying expertise into practical solutions and contributing to data validation processes to ensure data integrity.,"[""codify deep database expertise"", ""contribute to data validation""]",codify deep database expertise (Bloom: Apply); contribute to data validation (Bloom: Apply),Hard,work independently; solve problems; think critically; deliver high-quality work; adapt to change,"Independent problem-solving and critical thinking enable the application of database knowledge to create robust, validated data solutions.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Database management remains crucial for all data-driven applications, and the ability to formalize and apply this expertise supports reliable system development.",False,,,,,
C4_b31,31,Development of Technical Standards and Frameworks,"Create technical standards, frameworks, and best practices by contributing to the development of RFCs and applying established design patterns to set coherent development standards.","[""contribute to the development of RFCs, standards, and frameworks"", ""set standards"", ""follow established best practices and design patterns""]","contribute to the development of RFCs, standards, and frameworks (Bloom: Create); set standards (Bloom: Apply); follow established best practices and design patterns (Bloom: Create)",Hard,collaborate with cross-functional teams; drive innovation; think critically; communicate ideas; work with cross-functional teams; provide technical leadership,"Learners must collaborate with cross-functional teams, drive innovation, and communicate ideas effectively to develop and set technical standards.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Contributing to standards development fosters innovation and interoperability, especially in emerging domains like blockchain and advanced communication, supporting ecosystem growth.",False,,,,,
C1_b77,77,Recruitment Process Management,"Design and execute comprehensive recruitment functions by planning candidate sourcing strategies, managing application workflows, and coordinating selection activities to fill organizational positions.","[""manage recruitment"", ""execute recruitment functions""]",manage recruitment (Bloom: Apply); execute recruitment functions (Bloom: Apply),Hard,collaborate with team; communicate effectively; manage time; work independently; adapt to change; understand business needs,"Learners need to communicate with hiring teams, adapt processes to changing needs, and manage timelines independently to execute recruitment effectively.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Effective talent acquisition remains critical as organizations grow and evolve, requiring skilled professionals to manage recruitment processes that attract qualified candidates in competitive markets.",False,,,,,
C2_b67,67,Execute and Analyze Technical Experiments,"Conduct and analyze technical experiments by applying systematic methods to gather data, focusing on instrumentation setup and interpreting results to verify electronic principles.","[""conduct experiment analyses"", ""focus on instrumentation""]",conduct experiment analyses (Bloom: Apply); focus on instrumentation (Bloom: Apply),Hard,solve problems; work collaboratively; adapt to change,"Problem-solving guides experimental troubleshooting, collaboration improves data interpretation, and adaptability allows for method adjustments.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.","Experimental analysis and instrumentation skills are critical for R&D in fast-growing domains like AI hardware testing, sensor development, and prototyping new technologies.",False,,,,,
C1_b10,10,Software Testing Design and Planning,"Design comprehensive test plans and procedures by analyzing software requirements, selecting appropriate testing methodologies, and defining measurable criteria for validation.","[""develop test plans and procedures""]",develop test plans and procedures (Bloom: Create),Hard,think critically; solve problems; manage time; work independently; deliver high-quality work; adapt to change,"Critical thinking and problem-solving are needed to analyze requirements and design effective tests, while time management and a focus on quality ensure thorough and reliable validation.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","As software systems grow in complexity and criticality, the ability to systematically design and plan testing ensures software reliability, security, and user satisfaction, which are essential for all future software development.",False,,,,,
C8_b34,34,Apply Robotics and AI in Live Field Operations,"Apply principles of advanced robotics and AI in live field operations by deploying and troubleshooting robotic systems in real-world, unstructured environments.","[""work at the intersection of advanced robotics and live field operations"", ""develop and operate Autonomous Underwater Vehicles (AUVs) and Autonomous Surface Vehicles (USVs)""]",work at the intersection of advanced robotics and live field operations (Bloom: Apply); develop and operate Autonomous Underwater Vehicles (AUVs) and Autonomous Surface Vehicles (USVs) (Bloom: Create),Hard,solve problems; adapt to change; work independently; thrive in ambiguity; work collaboratively,"Problem-solving and adaptability are crucial for troubleshooting robotic systems in unpredictable field conditions, often requiring independent judgment.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Field robotics in agriculture, inspection, and defense require practical skills to bridge the gap between AI software and physical world deployment.",False,,,,,
C1_b133,133,Applying Construction Software for Digital Documentation,"Apply specialized construction software to create, review, and manage digital project documents by following established workflows and quality standards.","[""use Bluebeam""]",use Bluebeam (Bloom: Apply),Hard,work independently; deliver high-quality work; manage time; adapt to change; collaborate with team,"Learners need to work independently with precision, manage their time to meet deadlines, and adapt to software updates while collaborating on shared documents.",4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"Digital documentation and collaboration tools remain essential in construction and engineering, supporting efficiency and accuracy in project delivery as industries modernize.",False,,,,,
C3_b26,26,Applying IT Process Alignment and Maintenance,Apply IT process alignment and maintenance by following established procedures to ensure consistent and reliable operational outcomes.,"[""align IT processes and procedures"", ""maintain process models""]",align IT processes and procedures (Bloom: Apply); maintain process models (Bloom: Create),Hard,work independently; deliver high-quality work; manage time; adjust and be flexible to change,"Independence and time management enable consistent task execution, while flexibility helps adapt to procedural updates.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","While some routine maintenance tasks may decline, foundational skills in process alignment remain important for ensuring system stability and compliance in evolving IT environments.",False,,,,,
C1_b95,95,Data Management and Processing,"Apply data management techniques by accurately transferring, updating, and inputting data into designated systems using established procedures and tools.","[""transfer data"", ""update data"", ""input data""]",transfer data (Bloom: Apply); update data (Bloom: Apply); input data (Bloom: Apply),Hard,work independently; deliver high-quality work; manage time,Learners need to work independently and manage their time to deliver accurate and high-quality data processing work.,4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"While specific routine tasks may be automated, foundational data management skills remain essential for understanding data workflows and ensuring data integrity in increasingly automated environments.",False,,,,,
C4_b29,29,Build and Maintain Data and ML Pipelines,"Build and maintain data and machine learning pipelines by designing automated workflows for data ingestion, processing, and model deployment to support analytics and AI applications.","[""build data pipelines"", ""build ML pipelines"", ""build automation pipelines"", ""maintain ML pipelines"", ""deploy advanced algorithms""]",build data pipelines (Bloom: Create); build ML pipelines (Bloom: Create); build automation pipelines (Bloom: Create); maintain ML pipelines (Bloom: Analyze); deploy advanced algorithms (Bloom: Apply),Hard,solve complex challenges; think critically; work independently; grow professionally; work closely with data scientists,Learners need to solve complex data flow challenges independently and collaborate with data scientists to understand pipeline requirements.,7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Data and ML pipelines are core to AI and analytics initiatives, enabling organizations to derive insights and deploy intelligent systems at scale.",False,,,,,
C3_b61,61,Analyze and Respond to Security Alarms,"Evaluate and respond to cybersecurity alarms by analyzing alert data, following established incident response procedures, and documenting actions to mitigate potential threats.","[""respond to alarms""]",respond to alarms (Bloom: Apply),Hard,solve complex challenges; think critically; thrive in ambiguity; work collaboratively,"Responding to security threats requires solving complex problems under pressure, thinking critically about data, and collaborating with security teams.",5,4,"Mampu menyelesaikan pekerjaan berlingkup luas, memilih metode dari beragam pilihan baku/non-baku dengan menganalisis data. Menguasai konsep teoritis bidang pengetahuan tertentu secara umum, mampu memformulasikan penyelesaian masalah prosedural.",Cybersecurity threat detection and response is a high-growth area critical for protecting digital assets and ensuring compliance in an increasingly connected world.,False,,,,,
C1_b65,65,Technology Strategy Development and Evaluation,"Evaluate and define comprehensive technology strategies by analyzing organizational needs, researching technological developments, and selecting appropriate frameworks to guide implementation.","[""define technology strategies"", ""own technology strategy"", ""research latest technological developments""]",define technology strategies (Bloom: Evaluate); own technology strategy (Bloom: Evaluate); research latest technological developments (Bloom: Create),Hard,think critically; solve complex challenges; work independently; adapt to change; understand business needs; align stakeholders,"Critical thinking and independent research are needed to analyze trends, while stakeholder alignment ensures strategies meet business needs.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Strategic technology planning is critical for organizational agility and innovation, ensuring alignment with rapidly evolving digital landscapes and future business requirements.",False,,,,,
C1_b98,98,Applying Makeup Techniques for Diverse Client Needs,"Apply makeup techniques by selecting appropriate products and tools to adapt styles for different customer preferences and facial features, demonstrating proficiency in color theory and application methods.","[""adapt makeup style to different customers"", ""apply makeup""]",adapt makeup style to different customers (Bloom: Apply); apply makeup (Bloom: Apply),Hard,adapt to change; communicate effectively; deliver high-quality work; understand business needs,"Adapting to client feedback and communicating clearly ensures personalized, high-quality results that meet customer expectations.",4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"While automation may impact routine tasks, personalized beauty services emphasize human creativity and adaptability, ensuring relevance in customer-facing and artistic industries.",False,,,,,
C1_b54,54,Design and Implement Data Quality Solutions,"Design and implement technical and business data quality solutions by applying data validation rules, reconciliation methods, and quality control processes to ensure accurate and reliable data systems.","[""build solutions for Technical Data Quality (TDQ)"", ""build solutions for Business Data Quality (BDQ)"", ""ensure quality control"", ""build robust reconciliation/accounting systems""]",build solutions for Technical Data Quality (TDQ) (Bloom: Create); build solutions for Business Data Quality (BDQ) (Bloom: Create); ensure quality control (Bloom: Analyze); build robust reconciliation/accounting systems (Bloom: Create),Hard,solve complex challenges; think critically; work collaboratively; adapt to change; deliver high-quality work,Critical thinking and collaboration are needed to analyze data problems and design effective quality solutions in evolving technical environments.,7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Data quality is foundational for AI, analytics, and automated decision-making, making these skills critical for reliable data-driven systems.",False,,,,,
C1_b6,6,Database Management and Administration,"Administer and manage database systems by performing operations such as configuration, backup, restoration, and user access control to ensure data integrity and availability.","[""manage databases""]",manage databases (Bloom: Apply),Hard,work independently; solve problems; deliver high-quality work; manage time; think critically; adapt to change,"Learners need to work independently to perform routine tasks, solve technical problems, and manage their time to ensure reliable database operations.",4,4,Mampu menyelesaikan tugas berlingkup luas dan kasus spesifik dengan menganalisis informasi secara terbatas dan memilih metode dari beberapa pilihan baku. Menguasai beberapa prinsip dasar bidang keahlian tertentu.,"Database management remains a foundational skill for data-driven applications and systems, with continued demand as organizations rely on structured data storage and retrieval.",False,,,,,
C1_b90,90,Advanced Information Retrieval System Development,"Design and implement hybrid retrieval systems by integrating lexical, vector, and semantic methods to enhance information access and processing capabilities.","[""deploy retrieval-enhanced LLMs and hybrid retrieval pipelines"", ""advance lexical, vector, and hybrid retrieval systems"", ""build retrieval and evaluation capabilities""]","deploy retrieval-enhanced LLMs and hybrid retrieval pipelines (Bloom: Create); advance lexical, vector, and hybrid retrieval systems (Bloom: Apply); build retrieval and evaluation capabilities (Bloom: Create)",Hard,solve complex challenges; think critically; work independently; deliver high-quality work; adapt to change; grow professionally,Learners need critical thinking to solve complex retrieval problems and adaptability to integrate evolving AI methods while independently delivering high-quality systems.,7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","This competency is critical for developing next-generation search engines, AI assistants, and data analysis tools, which are foundational to AI and big data applications. Mastery of hybrid retrieval techniques enables learners to contribute to systems that efficiently process vast and complex information sources.",False,,,,,
C1_b74,74,Mathematical Modeling and Implementation,Create and implement mathematical models by applying theoretical principles and integrating research to solve computational problems in specified domains.,"[""apply basic principles, theories, and concepts"", ""apply theoretical knowledge"", ""develop mathematical models"", ""implement mathematical models"", ""integrate mathematical research""]","apply basic principles, theories, and concepts (Bloom: Apply); apply theoretical knowledge (Bloom: Apply); develop mathematical models (Bloom: Create); implement mathematical models (Bloom: Create); integrate mathematical research (Bloom: Create)",Hard,think critically; solve complex challenges; work independently; deliver high-quality work; adapt to change,"Critical thinking and independent work are needed to develop accurate models, while adaptability ensures models remain relevant to evolving problem contexts.",7,7,"Mampu merencanakan dan mengelola sumberdaya, mengevaluasi kerjanya secara komprehensif untuk menghasilkan langkah-langkah pengembangan strategis organisasi. Memecahkan permasalahan melalui pendekatan monodisipliner. Mampu melakukan riset dan mengambil keputusan strategis dengan akuntabilitas penuh.","Mathematical modeling is foundational for emerging fields like AI, machine learning, and data analytics, where it is used to simulate complex systems and drive data-informed solutions.",False,,,,,
