skill,kkni_level,n_jobs,share
evaluate eligibility for positions,2.0,1,1.0
evaluate proposed software changes,,0,0.0
evaluate vendor capabilities,5.0,1,1.0
evolve data center design,,0,0.0
evolve interfaces,,0,0.0
evolve patterns and components,,0,0.0
exceed expectations,,0,0.0
exceed sales expectations,,0,0.0
execute a plan for net zero emissions,6.0,1,1.0
execute administrative HR functions,,0,0.0
execute business strategy,6.0,1,1.0
execute design and production effort,,0,0.0
execute engineering activities,6.0,1,1.0
execute engineering tasks,6.0,1,1.0
execute go-to-market,,0,0.0
execute ideas,6.0,1,1.0
execute inform/awareness activities,5.0,1,1.0
execute on opportunities,,0,0.0
execute onboarding functions,,0,0.0
execute recruitment functions,,0,0.0
execute standard engineering projects,6.0,1,1.0
execute strategies,,0,0.0
execute targeted headhunting campaigns,,0,0.0
execute test plans and procedures,6.0,1,1.0
expand sales operations,,0,0.0
experience energy projects,6.0,1,1.0
experience structural engineering,6.0,1,1.0
explain mobile-specific constraints to designers,,0,0.0
explain solutions and products,5.0,1,1.0
explain strategic goals to other engineers,,0,0.0
explore diverse interests,6.0,1,1.0
explore what's possible on mobile,,0,0.0
extend skills beyond formal role boundaries,6.0,1,1.0
facilitate Agile ceremonies,2.0,1,1.0
facilitate annual planning cycle,,0,0.0
facilitate backlog grooming,2.0,1,1.0
facilitate communication,6.0,1,1.0
facilitate positive relationships,,0,0.0
filter out individuals who may misrepresent themselves,6.0,1,1.0
filter out sellers by digging into their process,,0,0.0
fix technical issues,6.0,1,1.0
focus on advanced modelling,8.0,1,1.0
focus on applied research,8.0,1,1.0
focus on automation,5.0,1,1.0
"focus on automation, resiliency, availability, scalability, and performance",,0,0.0
focus on cross-functional collaboration,,0,0.0
focus on customers,,0,0.0
focus on instrumentation,5.0,1,1.0
focus on lifecycle ownership,,0,0.0
focus on operational readiness,5.0,1,1.0
focus on process automation,,0,0.0
focus on process reengineering,,0,0.0
focus on production delivery,8.0,1,1.0
focus on scalability,5.0,1,1.0
focus on security,5.0,1,1.0
focus on stability,5.0,1,1.0
focus on user-centric design,,0,0.0
follow company grooming standards,,0,0.0
follow established best practices and design patterns,,0,0.0
follow through on tasks,2.0,1,1.0
formulate important insights,6.0,1,1.0
foster a culture of accountability,,0,0.0
foster a culture of continuous improvement,,0,0.0
foster a culture of customer success,,0,0.0
foster inclusion,6.0,1,1.0
gain hands-on industrial experience,,0,0.0
gather data on improvement performance,6.0,1,1.0
gather requirements,,0,0.0
generate growth,,0,0.0
generate insights,,0,0.0
go above and beyond to help customers,,0,0.0
govern processes,6.0,1,1.0
govern projects,,0,0.0
grow a team,,0,0.0
grow collection,,0,0.0
grow professionally,6.0,1,1.0
grow relationships with clients,8.0,1,1.0
grow the team and platform,6.0,1,1.0
guide a team of developers,,0,0.0
"guide a team through designing and implementing websites, applications and mobile apps",6.0,1,1.0
guide customers,,0,0.0
guide engineers,,0,0.0
guide other team members,6.0,1,1.0
guide platform evolution,8.0,1,1.0
handle acoustic tracking,8.0,1,1.0
handle and manage confidential information,8.0,1,1.0
handle complex buyers,6.0,1,1.0
handle complex issues,5.0,1,1.0
handle complex pricing,6.0,1,1.0
handle complex workflows,6.0,1,1.0
handle complexity for developers,,0,0.0
handle customer requests,,0,0.0
handle multi-source data,8.0,1,1.0
handle scale,6.0,1,1.0
help advisors transform operations,6.0,1,1.0
help customers build homes,,0,0.0
help customers consume products,,0,0.0
help customers modernize,,0,0.0
help define data product taxonomies and ownership,,0,0.0
help identify opportunities for automation,6.0,1,1.0
help organisations make informed business decisions,6.0,1,1.0
help shape future direction,,0,0.0
help shape future infrastructure,,0,0.0
help to embed Modern Methods of Construction (MMC),,0,0.0
hire skilled professionals,,0,0.0
identify areas for development,,0,0.0
identify areas for improvement,,0,0.0
identify basic configuration issues,6.0,1,1.0
identify content,,0,0.0
identify corrective actions,6.0,1,1.0
identify defect trends,5.0,1,1.0
identify defects during the testing process,6.0,1,1.0
identify false positives,6.0,1,1.0
identify hardening requirements,6.0,1,1.0
identify improvement opportunities,,0,0.0
identify issues related to outstanding payments,,0,0.0
identify new business opportunities,,0,0.0
identify opportunities,,0,0.0
identify potential CAT I/II/III findings,6.0,1,1.0
identify sales opportunities,3.0,1,1.0
implement CI/CD for data pipelines,,0,0.0
implement SCCM Intune co-management,,0,0.0
implement Windows Autopilot,,0,0.0
implement agentic AI technologies,,0,0.0
implement changes,6.0,1,1.0
implement consistency improvements,6.0,1,1.0
implement corporate production network,,0,0.0
implement critical data architecture solutions,,0,0.0
implement customizations,,0,0.0
implement data aggregation,,0,0.0
implement data collection,,0,0.0
implement data display,,0,0.0
implement data exploitation,,0,0.0
implement data fusion,,0,0.0
implement data interfacing,,0,0.0
implement effective caching strategies,,0,0.0
implement enterprise-grade networks,,0,0.0
implement generative AI technologies,,0,0.0
implement improvements,5.0,1,1.0
implement mathematical models,9.0,1,1.0
implement monitoring,6.0,1,1.0
implement new projects,,0,0.0
implement process improvements,6.0,1,1.0
implement robust alerting,6.0,1,1.0
implement robust monitoring,6.0,1,1.0
implement robust observability,6.0,1,1.0
implement solutions,5.0,1,1.0
implement systems,,0,0.0
improve Ubuntu,2.0,1,1.0
improve components,,0,0.0
improve developer workflows,,0,0.0
improve network programmability,6.0,1,1.0
improve operational readiness,,0,0.0
improve pneumatic ejection performance,,0,0.0
improve product outcomes,,0,0.0
improve stability,6.0,1,1.0
improve user experience,,0,0.0
increase deployment consistency,5.0,1,1.0
influence company strategy,,0,0.0
influence decision-making,,0,0.0
influence high-level strategies,5.0,1,1.0
influence product development,6.0,1,1.0
influence technical direction,,0,0.0
inform campaign decisions,,0,0.0
inform marketing strategies,,0,0.0
inform product decisions,,0,0.0
innovate,6.0,1,1.0
innovate AI-enabled workflows,,0,0.0
innovate CI/CD pipelines,,0,0.0
innovate developer environments,,0,0.0
innovate developer tooling,,0,0.0
innovate new solutions,6.0,1,1.0
innovate next big features in tools,9.0,1,1.0
innovate solutions,6.0,1,1.0
innovate value,,0,0.0
input data,,0,0.0
install audio systems,2.0,1,1.0
install plugins,,0,0.0
integrate AI,,0,0.0
integrate AI across ecosystems,,0,0.0
integrate DevOps methodologies into development and deployment workflows,,0,0.0
integrate Intune with other services,,0,0.0
integrate actuators,6.0,1,1.0
integrate content,,0,0.0
integrate hardware systems,6.0,1,1.0
"integrate health, safety and environmental considerations into work",6.0,1,1.0
integrate mathematical research,9.0,1,1.0
integrate sensors,6.0,1,1.0
integrate the catalog with various data services,,0,0.0
integrate valves,6.0,1,1.0
integrate with APIs,,0,0.0
integrate with REST/GraphQL APIs,,0,0.0
integrate with other tools,,0,0.0
integrate with source control systems,,0,0.0
interact with managed service providers,5.0,1,1.0
interact with other teams,9.0,1,1.0
interact with vendors,5.0,1,1.0
interface with business continuity plan management,2.0,1,1.0
interface with cross-functional teams,2.0,1,1.0
interface with customers,2.0,1,1.0
interpret complex datasets,6.0,1,1.0
interpret design and production effort,,0,0.0
interpret technical vulnerability data,6.0,1,1.0
isolate technical issues,6.0,1,1.0
lead ServiceNow programme delivery,,0,0.0
lead Severe Storm planning,2.0,1,1.0
lead VXLAN deployments,,0,0.0
lead a group of applied scientists,8.0,1,1.0
lead a stream of work,,0,0.0
lead a team,6.0,2,1.0
lead complex technical initiatives,,0,0.0
lead data scientists,8.0,1,1.0
lead design and delivery of integration architectures,,0,0.0
lead design efforts,6.0,1,1.0
lead design of cloud-based platforms,,0,0.0
lead development team,,0,0.0
lead engineering teams,8.0,1,1.0
lead enterprise automation initiatives,5.0,1,1.0
lead evolution of cloud-based platforms,,0,0.0
lead financial modeling,,0,0.0
lead forecasting,,0,0.0
lead forecasting efforts,8.0,1,1.0
lead implementation of cloud-based platforms,,0,0.0
lead implementation of integration projects,6.0,1,1.0
lead initiatives,6.0,1,1.0
lead investigations,6.0,1,1.0
lead large features from idea to launch,6.0,1,1.0
lead mechanical design,6.0,1,1.0
lead multidisciplinary teams and external partners,,0,0.0
lead performance analysis,,0,0.0
lead planning capability,,0,0.0
lead problem resolution efforts,2.0,1,1.0
lead product development,,0,0.0
lead product engineering efforts,6.0,1,1.0
lead project meetings,2.0,1,1.0
lead project work streams,,0,0.0
lead projects,,0,0.0
lead regional development function,,0,0.0
lead research,9.0,1,1.0
lead solution architecture,2.0,1,1.0
lead solution design,,0,0.0
lead solution-architecture initiatives,3.0,1,1.0
lead teams,8.0,1,1.0
lead teams committed to customer impact,8.0,1,1.0
lead teams committed to quality,8.0,1,1.0
lead teams committed to velocity,8.0,1,1.0
lead technical investigations,6.0,1,1.0
lead the join experience,,0,0.0
lead with empathy,,0,0.0
learn customer language and industries,5.0,1,1.0
learn from each other,6.0,1,1.0
learn how to deploy and secure systems,,0,0.0
learn more about company operations,6.0,1,1.0
learn new skills,,0,0.0
learn new technologies,,0,0.0
learn plant design,,0,0.0
learn skills beyond formal role boundaries,6.0,1,1.0
leverage Azure data platforms,8.0,1,1.0
"leverage Java to deliver reliable, scalable solutions",,0,0.0
"leverage JavaScript to deliver reliable, scalable solutions",,0,0.0
leverage MS Purview,8.0,1,1.0
leverage Python for solutions,6.0,1,1.0
leverage SQL for solutions,6.0,1,1.0
leverage collective knowledge of sustainable spaces,6.0,1,1.0
leverage data to showcase transformational value,,0,0.0
"leverage modern frameworks to deliver reliable, scalable solutions",,0,0.0
leveraging AI to generate insights,8.0,1,1.0
liaise with Business Development team,,0,0.0
liaise with allied health care team members,,0,0.0
liaise with clinic team members,,0,0.0
liaise with learners,,0,0.0
liaise with research staff,,0,0.0
license content,,0,0.0
look after network and tools,,0,0.0
maintain 24x7x365 network infrastructure,,0,0.0
maintain AV equipment,5.0,1,1.0
maintain Business Intelligence solutions,8.0,1,1.0
maintain HR software,,0,0.0
maintain ML pipelines,6.0,1,1.0
maintain Operations and Data Center checklists,2.0,1,1.0
maintain activity tracking databases,,0,0.0
maintain additional rack power,2.0,1,1.0
maintain and enhance existing platforms,,0,0.0
maintain and operate procedures,8.0,1,1.0
maintain appearance of shared spaces,2.0,1,1.0
maintain automated test scripts,6.0,1,1.0
maintain consistency across product ecosystem,,0,0.0
maintain cybersecurity compliances,,0,0.0
maintain cybersecurity standards,,0,0.0
maintain data models,2.0,1,1.0
maintain documentation,6.0,1,1.0
maintain equipment,6.0,1,1.0
maintain exceptional attention to detail,6.0,1,1.0
maintain flexibility in scheduling,2.0,1,1.0
maintain high attention to detail,,0,0.0
maintain hybrid cloud environment,5.0,1,1.0
maintain infrastructure foundation,5.0,1,1.0
maintain interfaces between clinical and enterprise systems,,0,0.0
maintain internal management platform,,0,0.0
maintain inventory levels in supply chain,5.0,1,1.0
maintain leading class security practices,6.0,1,1.0
maintain or write plugins for tools,,0,0.0
maintain performance,6.0,1,1.0
maintain process models,2.0,1,1.0
maintain production efficiency,6.0,1,1.0
maintain professional boundaries,8.0,1,1.0
maintain readiness,5.0,1,1.0
maintain records,2.0,1,1.0
maintain reliability,6.0,1,1.0
maintain scalability,6.0,1,1.0
make a positive impact,,0,0.0
make an impact at every level of society,6.0,1,1.0
make an impact that matters,,0,0.0
make automated network changes,6.0,1,1.0
make database management effortless,,0,0.0
"make digital products more intuitive, easy to use, and aesthetically pleasing",6.0,1,1.0
make meaningful contributions,6.0,1,1.0
make minor adjustments to process,2.0,1,1.0
make observability effortless,,0,0.0
"make practical, real-world decisions",6.0,1,1.0
manage ServiceNow implementations,,0,0.0
manage Windows devices,,0,0.0
manage a team,,0,0.0
manage agency contracting,6.0,1,1.0
manage agency purchasing,6.0,1,1.0
manage alerting,5.0,1,1.0
manage backup plans,5.0,1,1.0
manage build jobs,,0,0.0
manage calendars,,0,0.0
manage client issues,8.0,1,1.0
manage client relationships,8.0,1,1.0
manage clinic schedules,,0,0.0
manage cloud infrastructure,,0,0.0
manage cross-functional delivery,,0,0.0
manage customer service,5.0,1,1.0
manage databases,8.0,1,1.0
manage delivery governance,,0,0.0
manage demand planning,5.0,1,1.0
manage device lifecycle,,0,0.0
manage disaster recovery plans,5.0,1,1.0
manage employee data,,0,0.0
manage employee engagement,,0,0.0
manage enterprise-grade networks,,0,0.0
manage environmental performance,6.0,1,1.0
manage facility operations,6.0,1,1.0
manage failover plans,5.0,1,1.0
manage forecasting,5.0,1,1.0
manage heat transfer applications,6.0,1,1.0
manage infrastructure,,0,0.0
manage inventory management,5.0,1,1.0
manage large CAD databases,6.0,1,1.0
manage learner schedules,,0,0.0
manage modern endpoint management solutions,,0,0.0
manage multiple priorities,2.0,1,1.0
manage network switches,6.0,1,1.0
manage organisational change,,0,0.0
manage payroll,,0,0.0
manage performance,,0,0.0
manage product lifecycle,,0,0.0
manage programming projects,2.0,1,1.0
manage projects,9.0,1,1.0
manage recruitment,,0,0.0
manage relationships,,0,0.0
manage releases,,0,0.0
manage scalable real-time data streaming platforms,,0,0.0
manage scheduling,,0,0.0
manage source control,,0,0.0
manage stakeholder communication,8.0,1,1.0
manage stakeholders,,0,0.0
manage thermal management,6.0,1,1.0
manage time,2.0,1,0.5
manage time,6.0,1,0.5
manage training,,0,0.0
manage vendor relationships,6.0,1,1.0
manage work of other employees,5.0,1,1.0
manipulate the Document Object Model,6.0,1,1.0
manufacture products,,0,0.0
map out competitor sales organisations,,0,0.0
maximize resource development,6.0,1,1.0
measure data-driven insights,,0,0.0
measure key financial targets,6.0,1,1.0
meet engineering specifications,2.0,1,1.0
meet evolving customer needs,6.0,1,1.0
meet evolving operational needs,6.0,1,1.0
meet evolving regulatory needs,6.0,1,1.0
meet production requirements,2.0,1,1.0
mentor junior developers,6.0,1,1.0
mentor junior staff,6.0,2,1.0
mentor other recruiters,,0,0.0
mentor other team members,6.0,1,1.0
mentor students,9.0,1,1.0
mentor subordinate group,5.0,1,1.0
mentor team members,6.0,1,1.0
mentor top talent,8.0,1,1.0
migrate applications from SCCM to Intune,,0,0.0
minimize downtime,6.0,1,1.0
mix sound through a mixing console,5.0,1,1.0
model content metadata,6.0,1,1.0
model core values in client interactions,6.0,1,1.0
modify CI/CD pipelines,,0,0.0
monitor DRC runs,6.0,1,1.0
monitor IT Change Management,2.0,1,1.0
monitor SLIs,5.0,1,1.0
monitor deliveries,2.0,1,1.0
monitor disclosure requirements,6.0,1,1.0
monitor emerging environmental regulations,6.0,1,1.0
monitor environmental best practices,6.0,1,1.0
monitor integration services,6.0,1,1.0
monitor inventory and place orders,2.0,1,1.0
monitor middleware performance,6.0,1,1.0
monitor priorities,2.0,1,1.0
monitor progress of change activity,,0,0.0
monitor progress of impact assessments,,0,0.0
monitor system health,,0,0.0
motivate other team members,6.0,1,1.0
"move projects through client plant design, build, factory acceptance testing, and installation",,0,0.0
multi task and meet deadlines,8.0,1,1.0
navigate ambiguity,6.0,1,1.0
navigate complex design obstacles,,0,0.0
navigate unexpected challenges,6.0,1,1.0
negotiate SLOs,5.0,1,1.0
network with peers,6.0,1,1.0
obtain certifications,,0,0.0
operate AI-enabled workflows,,0,0.0
operate AV equipment,5.0,1,1.0
operate CI/CD pipelines,,0,0.0
operate CNC machines,2.0,1,1.0
operate Docker,,0,0.0
operate EDM machines,2.0,1,1.0
operate Kubernetes,,0,0.0
operate SCCM Intune co-management,,0,0.0
operate advanced artificial intelligence solutions,6.0,1,1.0
operate audio systems for concerts and events,2.0,1,1.0
operate code,6.0,1,1.0
operate data solutions,6.0,1,1.0
operate data stores,,0,0.0
operate distributed systems,6.0,1,1.0
operate in structured quarterly reporting cycles,,0,0.0
operate large-scale SaaS and cloud services,,0,0.0
optimise marketing investment,6.0,1,1.0
optimise the funnel,,0,0.0
optimize CNC machining operations,2.0,1,1.0
optimize frameworks,6.0,1,1.0
optimize global offer launch preparation,6.0,1,1.0
optimize iOS apps,6.0,1,1.0
optimize industrial processes,6.0,1,1.0
optimize integration services,6.0,1,1.0
optimize middleware performance,6.0,1,1.0
optimize money movements and foreign exchange,6.0,1,1.0
"optimize performance of bundlers, linters, and formatters",,0,0.0
optimize platform and sub-systems,6.0,1,1.0
optimize systems,6.0,1,1.0
optimize technical solutions,5.0,1,1.0
orchestrate CI/CD,,0,0.0
orchestrate complex ecosystems,,0,0.0
order additional rack power,2.0,1,1.0
organize design and production effort,,0,0.0
organize tasks and processes,2.0,1,1.0
organize visually-complex information,6.0,1,1.0
organize work,,0,0.0
organize work and processes,8.0,1,1.0
oversee UPS,2.0,1,1.0
oversee agency fixed assets,6.0,1,1.0
oversee all aspects of mineral resource evaluation,,0,0.0
oversee broadcast operations,6.0,1,1.0
oversee daily operations,6.0,1,1.0
oversee development of contracts,6.0,1,1.0
oversee environmental monitoring,2.0,1,1.0
oversee intercom and communications systems,6.0,1,1.0
"oversee management of architects, consultants, and professional partners",,0,0.0
"oversee progression of multiple developments from acquisition through planning, design development, and construction",,0,0.0
oversee technology platforms,5.0,1,1.0
own CAD,6.0,1,1.0
own CI/CD pipelines,,0,0.0
own business strategy,,0,0.0
own code lifecycle,6.0,1,1.0
own critical aspects of electrical architecture,6.0,1,1.0
own critical aspects of electrical implementation,6.0,1,1.0
own customer inform/awareness activities,5.0,1,1.0
own digital signal processing stack,8.0,1,1.0
own feature execution and delivery,8.0,1,1.0
own product strategy,,0,0.0
own project lifecycle,6.0,1,1.0
own technology strategy,8.0,1,1.0
own the backlog,,0,0.0
own the hiring strategy,,0,0.0
own the roadmap,,0,0.0
own the service level of a platform,,0,0.0
package applications for Intune,,0,0.0
package electronics,6.0,1,1.0
participate across many different activities,6.0,1,1.0
participate in C-suite discussions,,0,0.0
participate in audits,,0,0.0
participate in building software,,0,0.0
participate in code reviews,6.0,2,1.0
participate in continuous improvement initiatives,6.0,1,1.0
participate in design and development,6.0,1,1.0
participate in design work,6.0,1,1.0
participate in inter-agency workgroups,2.0,1,1.0
participate in on-call rotation,6.0,1,1.0
participate in project lifecycle,,0,0.0
participate in user story development,2.0,1,1.0
partner closely with Engineering and Information Security peers,,0,0.0
partner with communications committee,5.0,1,1.0
partner with customers,,0,0.0
partner with data scientists,,0,0.0
partner with engineers,,0,0.0
partner with publishing services manager,5.0,1,1.0
partner with sales leadership,,0,0.0
partner with the Lead Information Architect,,0,0.0
patch assembly code on CPUs or GPUs,9.0,1,1.0
pay strong attention to detail,2.0,1,1.0
perceive context in virtual environments,6.0,1,1.0
perform analysis,6.0,1,1.0
perform calculation,6.0,1,1.0
perform data analysis,,0,0.0
perform periodic checks on equipment,2.0,1,1.0
perform precision EDM work,2.0,1,1.0
perform secretarial and clerical duties,8.0,1,1.0
perform simulation,6.0,1,1.0
perform system analysis,2.0,1,1.0
perform technical support duties,,0,0.0
perform technical work,6.0,1,1.0
perform testing,6.0,1,1.0
pinpoint areas of improvement,6.0,1,1.0
pioneer intelligent discovery experiences,8.0,1,1.0
plan environments,5.0,1,1.0
plan for the future,6.0,1,1.0
plan ports needed for servers,2.0,1,1.0
plan setup and sequence of operations,2.0,1,1.0
plan studies,,0,0.0
play a pivotal role in projects,,0,0.0
play a team lead role,6.0,1,1.0
power business owners,6.0,1,1.0
power creative thinkers,6.0,1,1.0
power entrepreneurs,6.0,1,1.0
power innovators,6.0,1,1.0
prepare external environmental reports,6.0,1,1.0
prepare information for electrode construction,2.0,1,1.0
present directly to senior leadership,5.0,1,1.0
prioritise tasks effectively,8.0,1,1.0
prioritize data-driven insights,,0,0.0
prioritize learning,,0,0.0
proactively contribute improvement ideas,,0,0.0
proactively manage tasks,,0,0.0
process RMA/OHIP billing,,0,0.0
process day-to-day delivery,,0,0.0
process financial expenses,,0,0.0
process incoming and outgoing mail,2.0,1,1.0
process job applications,,0,0.0
produce Circuit Card Assemblies,6.0,1,1.0
produce barrels of oil,6.0,1,1.0
produce correct financial reports,6.0,1,1.0
produce high quality deliverables,,0,0.0
produce high-quality components,2.0,1,1.0
produce high-quality video content,5.0,1,1.0
produce technical drawings,,0,0.0
profile and analyze performance of applications and systems,9.0,1,1.0
program CNC machines,2.0,1,1.0
program CNC machining operations,2.0,1,1.0
program EDM machines,2.0,1,1.0
program enhancements for the ServiceNow portal,,0,0.0
"program in C, C++ and scripting languages",9.0,1,1.0
promote initiatives such as BCBS 239–aligned traceability,,0,0.0
promote mental health and resiliency,6.0,1,1.0
promote rapid and efficient development cycles,6.0,1,1.0
promote soil health,6.0,1,1.0
propose data architecture approaches,,0,0.0
prototype solutions to complex challenges,,0,0.0
provide HR support,,0,0.0
provide L3 L4 support for Intune,,0,0.0
provide a positive customer experience,,0,0.0
provide a positive employee experience,,0,0.0
provide administrative support,,0,0.0
provide clear frameworks,6.0,1,1.0
provide detailed analysis,,0,0.0
provide direct support to clinical faculty,,0,0.0
provide environmental expertise,6.0,1,1.0
provide expert advice,5.0,1,1.0
provide expert full-stack support to software engineering teams,,0,0.0
provide expert technical analysis,6.0,1,1.0
provide feedback on marketing campaign effectiveness,5.0,1,1.0
provide hands-on expertise,6.0,1,1.0
provide in-app chatbot,6.0,1,1.0
provide information on financial policies,2.0,1,1.0
provide input into development and implementation of Machine Learning technology,,0,0.0
provide key input to shape strategic direction,,0,0.0
provide leadership,5.0,1,1.0
provide leadership for sales channel operations,5.0,1,1.0
provide leadership to application support,2.0,1,1.0
provide live-sound support,2.0,1,1.0
provide post-implementation support,,0,0.0
provide post-sale customer support,3.0,1,1.0
provide production support,6.0,1,1.0
provide real-time market data,,0,0.0
provide secretarial support,,0,0.0
provide solutions,,0,0.0
provide strategic direction,6.0,1,1.0
provide support for sales channel operations,5.0,1,1.0
provide technical audio support,2.0,1,1.0
provide technical direction,2.0,1,1.0
provide technical leadership,5.0,1,0.5
provide technical leadership,6.0,1,0.5
provide technical mentorship,6.0,1,1.0
provide technical oversight,2.0,1,1.0
provide technical support,2.0,1,1.0
provide technical support to customers,6.0,1,1.0
provide transformative solutions,6.0,1,1.0
provide visibility on progress and timelines,8.0,1,1.0
provision and manage data resources,,0,0.0
provision cloud infrastructure,,0,0.0
provision infrastructure,,0,0.0
publish papers,,0,0.0
push boundaries,,0,0.0
push capability into modern AI techniques,8.0,1,1.0
push the boundaries of what uncrewed systems can do,,0,0.0
qualify actuators,6.0,1,1.0
qualify inbound interest,,0,0.0
qualify sensors,6.0,1,1.0
qualify valves,6.0,1,1.0
rack and stack new servers,2.0,1,1.0
raise the bar,,0,0.0
rebuild automation platforms,6.0,1,1.0
receive equipment,2.0,1,1.0
recommend change of employee status,5.0,1,1.0
recommend employee advancement,5.0,1,1.0
recommend employee promotions,5.0,1,1.0
recruit and hire talented team,6.0,1,1.0
redesign automation platforms,6.0,1,1.0
reduce carbon footprint,,0,0.0
reduce environmental impact,6.0,1,1.0
refactor and upgrade codebase,,0,0.0
reimagine ways to create a smart and sustainable future,6.0,1,1.0
report to the Operations Manager,,0,0.0
reproduce technical issues,6.0,1,1.0
research latest technological developments,6.0,1,1.0
"research, design, and prototype the look and feel of digital products",6.0,1,1.0
resolve conflicts,8.0,1,1.0
resolve issues,,0,0.0
resolve issues and blockers,,0,0.0
resolve issues related to outstanding payments,,0,0.0
resolve problems,2.0,1,1.0
resolve production issues,,0,0.0
respond quickly to prospects,,0,0.0
respond to alarms,2.0,1,1.0
respond to customer feedback,,0,0.0
review code,,0,0.0
review performance,,0,0.0
review plant plans and forecasts,6.0,1,1.0
review scan results,6.0,1,1.0
rightsize infrastructure,5.0,1,1.0
run databases in Linux environment,8.0,1,1.0
run fiber and copper cabling,2.0,1,1.0
run large-scale systems,,0,0.0
safeguard company networks and computer systems,6.0,1,1.0
safeguard national security,,0,0.0
safeguard sensitive information,,0,0.0
scale AI-enabled workflows,,0,0.0
scale CI/CD pipelines,,0,0.0
scale a modern data platform,,0,0.0
scale consumer products,,0,0.0
scale corporate production network,,0,0.0
scale environments quickly,,0,0.0
scale high-performance mobile applications,,0,0.0
scale product growth,,0,0.0
scale programmes,,0,0.0
scale service operations,,0,0.0
schedule calls,,0,0.0
scope and build data products,8.0,1,1.0
script PowerShell for automation,,0,0.0
script proficiently,5.0,1,1.0
secure high-scale communication systems,,0,0.0
seek feedback from senior team members,,0,0.0
select actuators,6.0,1,1.0
select sensors,6.0,1,1.0
select valves,6.0,1,1.0
sell the company vision to passive candidates,,0,0.0
serve as a key liaison,6.0,1,1.0
serve as a lab monitor for an electronic music lab,2.0,1,1.0
serve as a liaison with the information security team,6.0,1,1.0
serve as a resource to help teams solve problems,,0,0.0
serve as a security contact for the business unit,6.0,1,1.0
serve as first point of contact for visitors,2.0,1,1.0
serve as liaison for building management,6.0,1,1.0
serve as subject matter expert,6.0,1,1.0
serve entities worldwide,6.0,1,1.0
set a new standard for automated weed control,6.0,1,1.0
set a vision,6.0,1,1.0
set standards,6.0,1,1.0
set up CNC machining operations,2.0,1,1.0
set up Jenkins,,0,0.0
set up parts on machines,2.0,1,1.0
setup AV equipment,5.0,1,1.0
setup manufacturing processes,6.0,1,1.0
shape data-driven strategies,6.0,1,1.0
shape hybrid cloud environment,5.0,1,1.0
shape key parts of commerce and monetization ecosystem,,0,0.0
shape platform architecture,,0,0.0
shape the foundation of search and AI ecosystem,8.0,1,1.0
shape the future of financial planning,5.0,1,1.0
shape the future of platform,8.0,1,1.0
shape the next generation of CIS,6.0,1,1.0
shape user workflows,,0,0.0
sharpen knowledge,,0,0.0
shift left database expertise,,0,0.0
ship higher-quality work,,0,0.0
showcase design impact via portfolio,6.0,1,1.0
simplify purchasing flows,,0,0.0
solve business challenges,6.0,1,1.0
solve business problems,,0,0.0
solve challenging problems,6.0,1,1.0
solve complex challenges,6.0,2,1.0
solve complex customer challenges,,0,0.0
solve complex problems,6.0,1,1.0
solve complex problems at scale,,0,0.0
solve problems,2.0,1,0.25
solve problems,6.0,2,0.5
solve problems,8.0,1,0.25
solve problems creatively,,0,0.0
solve problems for the built environment,6.0,1,1.0
solve problems proactively,2.0,1,1.0
solve technical problems,6.0,1,1.0
stabilize Intune environments,,0,0.0
standardize processes,6.0,1,1.0
standardize sales channel operations,5.0,1,1.0
stay connected with company communications,6.0,1,1.0
stay curious,,0,0.0
stay current with industry knowledge,,0,0.0
streamline processes,6.0,1,1.0
strengthen API-first architecture,8.0,1,1.0
strengthen FP&A processes,,0,0.0
strengthen engineering delivery practices,8.0,1,1.0
strengthen observability,8.0,1,1.0
strengthen platform reliability,8.0,1,1.0
strengthen security posture,5.0,1,1.0
strive to advance technology,6.0,1,1.0
structure information and actions,6.0,1,1.0
study part prints,2.0,1,1.0
suggest opportunities for improvement,5.0,1,1.0
support AI platforms,,0,0.0
support CI/CD pipelines,6.0,1,1.0
support HR Manager,,0,0.0
support HR software,,0,0.0
support Product Engineering teams,,0,0.0
support SIT/UAT testing cycles,6.0,1,1.0
support Windows Autopilot,,0,0.0
support academic activities,,0,0.0
support administrative functions,2.0,1,1.0
support aggregation accuracy,,0,0.0
support analytics systems,,0,0.0
support and enable growth and opportunity for every employee,6.0,1,1.0
support business planning process,6.0,1,1.0
support business through changes,,0,0.0
support church events,5.0,1,1.0
support clients,,0,0.0
support clinical activities,,0,0.0
support continuous improvement,6.0,1,1.0
support course administration,,0,0.0
support course coordination,,0,0.0
support customer operations,,0,0.0
support customers,,0,0.0
support data conversions,,0,0.0
support development of environmental analysis capabilities,6.0,1,1.0
support engineered products,,0,0.0
support enterprise analytics platforms,,0,0.0
support enterprise property management systems,,0,0.0
support executive decision-making,,0,0.0
support feature planning,,0,0.0
support financial planning process,6.0,1,1.0
support forecasting process,6.0,1,1.0
support global offer marketing managers,6.0,1,1.0
support government customers in acquisitions,,0,0.0
support government customers in education and training,,0,0.0
support government customers in engineering design,,0,0.0
support growth of team,8.0,1,1.0
support healthcare system integrations,,0,0.0
support local production needs,5.0,1,1.0
support management and execution of contracts,6.0,1,1.0
support management in project planning,2.0,1,1.0
support one another,,0,0.0
support operational tooling,8.0,1,1.0
support operations,6.0,1,1.0
"support predictable, reliable delivery",,0,0.0
