skill,n_jobs_total,n_jobs_with_education,dominant_kkni,education_distribution_json
dig into deal mechanics,1,0,,{}
direct projects,1,0,,{}
disrupt the market,1,1,6.0,"{""6"": 1}"
dive into API design,1,0,,{}
dive into back-end logic,1,0,,{}
dive into details,1,1,6.0,"{""6"": 1}"
dive into platform-specific native code,1,0,,{}
document manufacturing processes,1,1,6.0,"{""6"": 1}"
draft architectural plans,1,0,,{}
drive a rigorous interview process,1,0,,{}
drive adoption and compliance with information security and privacy practices,1,1,6.0,"{""6"": 1}"
drive adoption of initiatives,1,0,,{}
drive business decisions,1,0,,{}
drive cross-functional teams,1,1,6.0,"{""6"": 1}"
drive delivery of AI/ML models,1,1,8.0,"{""8"": 1}"
drive delivery of functionality,1,1,8.0,"{""8"": 1}"
drive delivery of maintenance work pieces,1,1,8.0,"{""8"": 1}"
drive delivery of new features,1,1,8.0,"{""8"": 1}"
drive design of AI/ML models,1,1,8.0,"{""8"": 1}"
drive design of hardware products,1,1,6.0,"{""6"": 1}"
drive development of hardware products,1,1,6.0,"{""6"": 1}"
drive environmental ESG strategy,1,1,6.0,"{""6"": 1}"
drive forward mission,1,0,,{}
drive growth,1,0,,{}
drive high-impact projects,1,1,6.0,"{""6"": 1}"
drive higher conversion,1,0,,{}
drive impactful financial insights,1,1,5.0,"{""5"": 1}"
drive industrial components offer,1,1,6.0,"{""6"": 1}"
drive innovation,6,3,6.0,"{""6"": 2, ""8"": 1}"
drive iteration of hardware products,1,1,6.0,"{""6"": 1}"
drive lasting growth,1,0,,{}
drive positive impact,1,1,6.0,"{""6"": 1}"
drive proactive maintenance,1,1,5.0,"{""5"": 1}"
drive product from conception to rollout,1,1,8.0,"{""8"": 1}"
drive progress and efficiency,1,1,8.0,"{""8"": 1}"
drive progress toward better maintainability,1,0,,{}
drive strategic growth,1,1,6.0,"{""6"": 1}"
drive success of developer experience program,1,0,,{}
drive successful delivery of a portfolio of developments,1,0,,{}
drive the automation and optimization of operations,1,0,,{}
drive user acquisition,1,0,,{}
drive user activation,1,0,,{}
drive user monetization,1,0,,{}
drive user retention,1,0,,{}
edit video content,1,1,5.0,"{""5"": 1}"
elevate conversations,1,1,6.0,"{""6"": 1}"
eliminate manual tasks,1,1,5.0,"{""5"": 1}"
embed AI capabilities,1,0,,{}
embed expertise into product development,1,1,6.0,"{""6"": 1}"
embed governance,1,0,,{}
embed knowledge into code,1,0,,{}
embed modern DevOps practices,1,0,,{}
embrace diverse backgrounds,1,1,6.0,"{""6"": 1}"
empower engineers,1,1,5.0,"{""5"": 1}"
empower non-technical teams,1,0,,{}
"enable adoption, acceleration, and innovation",1,0,,{}
enable and multiply force,1,0,,{}
enable enterprise adoption of technologies,1,1,5.0,"{""5"": 1}"
enable internal developers to ship features quickly and safely,1,0,,{}
enable meaningful work,1,0,,{}
enable technology,1,1,2.0,"{""2"": 1}"
engage in active learning,1,1,6.0,"{""6"": 1}"
engage in confidential conversations,1,0,,{}
engage stakeholders,1,0,,{}
engage technical teams and business stakeholders,1,0,,{}
engage with stakeholders,1,0,,{}
enhance Power Platform applications,1,1,2.0,"{""2"": 1}"
enhance internally-used digital products,1,0,,{}
enhance large-scale systems,1,1,6.0,"{""6"": 1}"
enhance logistics and integrated value,1,1,6.0,"{""6"": 1}"
enhance performance of data solutions,1,1,5.0,"{""5"": 1}"
enhance platform performance,1,1,6.0,"{""6"": 1}"
enhance platform scalability,1,1,6.0,"{""6"": 1}"
enhance reliability of data solutions,1,1,5.0,"{""5"": 1}"
enhance technology products,1,1,6.0,"{""6"": 1}"
ensure SLAs are met,1,1,5.0,"{""5"": 1}"
ensure Stratum’s goals are aligned,1,0,,{}
ensure access to products through sales channel mix,1,1,5.0,"{""5"": 1}"
ensure accurate documentation,1,0,,{}
ensure accurate records,1,1,6.0,"{""6"": 1}"
ensure alignment with product vision,1,1,6.0,"{""6"": 1}"
ensure alignment with user experience,1,1,6.0,"{""6"": 1}"
ensure best practices are baked in by default,1,0,,{}
ensure cameras operate flawlessly,1,0,,{}
ensure cohesive delivery across the team,1,1,6.0,"{""6"": 1}"
ensure compliance with quality standards,1,1,6.0,"{""6"": 1}"
ensure compliance with statutes,1,1,6.0,"{""6"": 1}"
ensure confidentiality of sensitive information,1,1,2.0,"{""2"": 1}"
ensure consistent delivery of high-quality retirement communities,1,0,,{}
ensure critical business activities are achieved,1,0,,{}
ensure cultural responsiveness,1,1,6.0,"{""6"": 1}"
ensure data integrity,1,0,,{}
"ensure developments are commercially viable, technically robust, and aligned with customer proposition",1,0,,{}
ensure effective project delivery,1,1,5.0,"{""5"": 1}"
ensure high-performance communications,1,1,6.0,"{""6"": 1}"
ensure high-quality delivery through functional design,1,0,,{}
ensure high-quality delivery through systematic testing,1,0,,{}
ensure high-quality project delivery,1,1,6.0,"{""6"": 1}"
"ensure high-quality, scalable solutions",1,0,,{}
ensure integrity of financial information,1,1,6.0,"{""6"": 1}"
ensure issue resolution,1,1,5.0,"{""5"": 1}"
ensure lighting operates flawlessly,1,0,,{}
ensure microphones operate flawlessly,1,0,,{}
ensure mission success,1,0,,{}
ensure network fabrics and devices operate as expected,1,0,,{}
ensure on-time delivery,1,1,8.0,"{""8"": 1}"
ensure optimal customer experience,1,1,5.0,"{""5"": 1}"
ensure optimal inventory levels,1,1,5.0,"{""5"": 1}"
ensure optimal performance,1,1,6.0,"{""6"": 1}"
ensure pedagogical soundness,1,1,6.0,"{""6"": 1}"
ensure planning function excellence,1,0,,{}
ensure platforms are production ready,1,1,5.0,"{""5"": 1}"
"ensure portfolio progresses in accordance with programme, investment strategy, and quality standards",1,0,,{}
ensure privacy compliance,1,0,,{}
ensure process readiness,1,1,6.0,"{""6"": 1}"
ensure production software operates flawlessly,1,0,,{}
ensure products are reliable and safe,1,1,6.0,"{""6"": 1}"
ensure products meet customer specifications,1,1,6.0,"{""6"": 1}"
ensure products meet standards,1,1,6.0,"{""6"": 1}"
"ensure projects are delivered safely, efficiently, and in line with commercial objectives",1,0,,{}
ensure quality and regulatory compliance,1,0,,{}
ensure quality control,1,0,,{}
ensure regulatory compliance,2,1,6.0,"{""6"": 1}"
ensure reliable communications,1,1,6.0,"{""6"": 1}"
ensure reliable integration architecture,1,1,6.0,"{""6"": 1}"
ensure safety is baked in by default,1,0,,{}
ensure scalable integration architecture,1,1,6.0,"{""6"": 1}"
ensure seamless building,1,0,,{}
ensure seamless deployment,1,0,,{}
ensure seamless execution of live performances,1,1,2.0,"{""2"": 1}"
ensure seamless integration,1,0,,{}
ensure seamless testing,1,0,,{}
ensure secure integration architecture,1,1,6.0,"{""6"": 1}"
ensure security is baked in by default,1,0,,{}
ensure smooth running of department,1,1,2.0,"{""2"": 1}"
"ensure strong performance, collaboration, and accountability",1,0,,{}
ensure successful adoption of platforms,1,0,,{}
ensure superior sound quality,1,1,2.0,"{""2"": 1}"
ensure system stability,1,0,,{}
ensure system success,1,1,6.0,"{""6"": 1}"
ensure the EPR solution complies with safety and governance requirements,1,0,,{}
ensure the EPR solution meets user needs,1,0,,{}
ensure user adoption,1,0,,{}
escalate issues,1,1,2.0,"{""2"": 1}"
establish and implement security solutions,1,1,6.0,"{""6"": 1}"
establish automated mobile CI/CD pipelines,1,0,,{}
establish key financial targets,1,1,6.0,"{""6"": 1}"
evaluate Stratum models,1,0,,{}
evaluate clients existing Kriging models,1,0,,{}
evaluate competitive bids,1,1,6.0,"{""6"": 1}"
evaluate eligibility for positions,1,1,2.0,"{""2"": 1}"
evaluate proposed software changes,1,0,,{}
evaluate vendor capabilities,1,1,5.0,"{""5"": 1}"
evolve data center design,1,0,,{}
evolve interfaces,1,0,,{}
evolve patterns and components,1,0,,{}
exceed expectations,1,0,,{}
exceed sales expectations,1,0,,{}
execute a plan for net zero emissions,1,1,6.0,"{""6"": 1}"
execute administrative HR functions,1,0,,{}
execute business strategy,1,1,6.0,"{""6"": 1}"
execute design and production effort,1,0,,{}
execute engineering activities,1,1,6.0,"{""6"": 1}"
execute engineering tasks,1,1,6.0,"{""6"": 1}"
execute go-to-market,1,0,,{}
execute ideas,1,1,6.0,"{""6"": 1}"
execute inform/awareness activities,1,1,5.0,"{""5"": 1}"
execute on opportunities,1,0,,{}
execute onboarding functions,1,0,,{}
execute recruitment functions,1,0,,{}
execute standard engineering projects,1,1,6.0,"{""6"": 1}"
execute strategies,1,0,,{}
execute targeted headhunting campaigns,1,0,,{}
execute test plans and procedures,1,1,6.0,"{""6"": 1}"
expand sales operations,1,0,,{}
experience energy projects,1,1,6.0,"{""6"": 1}"
experience structural engineering,1,1,6.0,"{""6"": 1}"
explain mobile-specific constraints to designers,1,0,,{}
explain solutions and products,1,1,5.0,"{""5"": 1}"
explain strategic goals to other engineers,1,0,,{}
explore diverse interests,1,1,6.0,"{""6"": 1}"
explore what's possible on mobile,1,0,,{}
extend skills beyond formal role boundaries,1,1,6.0,"{""6"": 1}"
facilitate Agile ceremonies,1,1,2.0,"{""2"": 1}"
facilitate annual planning cycle,1,0,,{}
facilitate backlog grooming,1,1,2.0,"{""2"": 1}"
facilitate communication,1,1,6.0,"{""6"": 1}"
facilitate positive relationships,1,0,,{}
filter out individuals who may misrepresent themselves,1,1,6.0,"{""6"": 1}"
filter out sellers by digging into their process,1,0,,{}
fix technical issues,1,1,6.0,"{""6"": 1}"
focus on advanced modelling,1,1,8.0,"{""8"": 1}"
focus on applied research,1,1,8.0,"{""8"": 1}"
focus on automation,2,1,5.0,"{""5"": 1}"
"focus on automation, resiliency, availability, scalability, and performance",1,0,,{}
focus on cross-functional collaboration,1,0,,{}
focus on customers,1,0,,{}
focus on instrumentation,1,1,5.0,"{""5"": 1}"
focus on lifecycle ownership,1,0,,{}
focus on operational readiness,1,1,5.0,"{""5"": 1}"
focus on process automation,1,0,,{}
focus on process reengineering,1,0,,{}
focus on production delivery,1,1,8.0,"{""8"": 1}"
focus on scalability,1,1,5.0,"{""5"": 1}"
focus on security,1,1,5.0,"{""5"": 1}"
focus on stability,1,1,5.0,"{""5"": 1}"
focus on user-centric design,1,0,,{}
follow company grooming standards,1,0,,{}
follow established best practices and design patterns,1,0,,{}
follow through on tasks,1,1,2.0,"{""2"": 1}"
formulate important insights,1,1,6.0,"{""6"": 1}"
foster a culture of accountability,1,0,,{}
foster a culture of continuous improvement,1,0,,{}
foster a culture of customer success,1,0,,{}
foster inclusion,1,1,6.0,"{""6"": 1}"
gain hands-on industrial experience,1,0,,{}
gather data on improvement performance,1,1,6.0,"{""6"": 1}"
gather requirements,2,0,,{}
generate growth,1,0,,{}
generate insights,1,0,,{}
go above and beyond to help customers,1,0,,{}
govern processes,1,1,6.0,"{""6"": 1}"
govern projects,1,0,,{}
grow a team,1,0,,{}
grow collection,1,0,,{}
grow professionally,2,1,6.0,"{""6"": 1}"
grow relationships with clients,1,1,8.0,"{""8"": 1}"
grow the team and platform,1,1,6.0,"{""6"": 1}"
guide a team of developers,1,0,,{}
"guide a team through designing and implementing websites, applications and mobile apps",1,1,6.0,"{""6"": 1}"
guide customers,1,0,,{}
guide engineers,1,0,,{}
guide other team members,1,1,6.0,"{""6"": 1}"
guide platform evolution,1,1,8.0,"{""8"": 1}"
handle acoustic tracking,1,1,8.0,"{""8"": 1}"
handle and manage confidential information,1,1,8.0,"{""8"": 1}"
handle complex buyers,1,1,6.0,"{""6"": 1}"
handle complex issues,1,1,5.0,"{""5"": 1}"
handle complex pricing,1,1,6.0,"{""6"": 1}"
handle complex workflows,1,1,6.0,"{""6"": 1}"
handle complexity for developers,1,0,,{}
handle customer requests,1,0,,{}
handle multi-source data,1,1,8.0,"{""8"": 1}"
handle scale,1,1,6.0,"{""6"": 1}"
help advisors transform operations,1,1,6.0,"{""6"": 1}"
help customers build homes,1,0,,{}
help customers consume products,1,0,,{}
help customers modernize,1,0,,{}
help define data product taxonomies and ownership,1,0,,{}
help identify opportunities for automation,1,1,6.0,"{""6"": 1}"
help organisations make informed business decisions,1,1,6.0,"{""6"": 1}"
help shape future direction,1,0,,{}
help shape future infrastructure,1,0,,{}
help to embed Modern Methods of Construction (MMC),1,0,,{}
hire skilled professionals,1,0,,{}
identify areas for development,1,0,,{}
identify areas for improvement,1,0,,{}
identify basic configuration issues,1,1,6.0,"{""6"": 1}"
identify content,1,0,,{}
identify corrective actions,1,1,6.0,"{""6"": 1}"
identify defect trends,1,1,5.0,"{""5"": 1}"
identify defects during the testing process,1,1,6.0,"{""6"": 1}"
identify false positives,1,1,6.0,"{""6"": 1}"
identify hardening requirements,1,1,6.0,"{""6"": 1}"
identify improvement opportunities,1,0,,{}
identify issues related to outstanding payments,1,0,,{}
identify new business opportunities,1,0,,{}
identify opportunities,1,0,,{}
identify potential CAT I/II/III findings,1,1,6.0,"{""6"": 1}"
identify sales opportunities,1,1,3.0,"{""3"": 1}"
implement CI/CD for data pipelines,1,0,,{}
implement SCCM Intune co-management,1,0,,{}
implement Windows Autopilot,1,0,,{}
implement agentic AI technologies,1,0,,{}
implement changes,1,1,6.0,"{""6"": 1}"
implement consistency improvements,1,1,6.0,"{""6"": 1}"
implement corporate production network,1,0,,{}
implement critical data architecture solutions,1,0,,{}
implement customizations,1,0,,{}
implement data aggregation,1,0,,{}
implement data collection,1,0,,{}
implement data display,1,0,,{}
implement data exploitation,1,0,,{}
implement data fusion,1,0,,{}
implement data interfacing,1,0,,{}
implement effective caching strategies,1,0,,{}
implement enterprise-grade networks,1,0,,{}
implement generative AI technologies,1,0,,{}
implement improvements,1,1,5.0,"{""5"": 1}"
implement mathematical models,1,1,9.0,"{""9"": 1}"
implement monitoring,1,1,6.0,"{""6"": 1}"
implement new projects,1,0,,{}
implement process improvements,1,1,6.0,"{""6"": 1}"
implement robust alerting,1,1,6.0,"{""6"": 1}"
implement robust monitoring,1,1,6.0,"{""6"": 1}"
implement robust observability,1,1,6.0,"{""6"": 1}"
implement solutions,1,1,5.0,"{""5"": 1}"
implement systems,1,0,,{}
improve Ubuntu,1,1,2.0,"{""2"": 1}"
improve components,1,0,,{}
improve developer workflows,1,0,,{}
improve network programmability,1,1,6.0,"{""6"": 1}"
improve operational readiness,1,0,,{}
improve pneumatic ejection performance,1,0,,{}
improve product outcomes,1,0,,{}
improve stability,1,1,6.0,"{""6"": 1}"
improve user experience,1,0,,{}
increase deployment consistency,1,1,5.0,"{""5"": 1}"
influence company strategy,1,0,,{}
influence decision-making,1,0,,{}
influence high-level strategies,1,1,5.0,"{""5"": 1}"
influence product development,1,1,6.0,"{""6"": 1}"
influence technical direction,1,0,,{}
inform campaign decisions,1,0,,{}
inform marketing strategies,1,0,,{}
inform product decisions,1,0,,{}
innovate,1,1,6.0,"{""6"": 1}"
innovate AI-enabled workflows,1,0,,{}
innovate CI/CD pipelines,1,0,,{}
innovate developer environments,1,0,,{}
innovate developer tooling,1,0,,{}
innovate new solutions,1,1,6.0,"{""6"": 1}"
innovate next big features in tools,1,1,9.0,"{""9"": 1}"
innovate solutions,1,1,6.0,"{""6"": 1}"
innovate value,1,0,,{}
input data,1,0,,{}
install audio systems,1,1,2.0,"{""2"": 1}"
install plugins,1,0,,{}
integrate AI,1,0,,{}
integrate AI across ecosystems,1,0,,{}
integrate DevOps methodologies into development and deployment workflows,1,0,,{}
integrate Intune with other services,1,0,,{}
integrate actuators,1,1,6.0,"{""6"": 1}"
integrate content,1,0,,{}
integrate hardware systems,1,1,6.0,"{""6"": 1}"
"integrate health, safety and environmental considerations into work",1,1,6.0,"{""6"": 1}"
integrate mathematical research,1,1,9.0,"{""9"": 1}"
integrate sensors,1,1,6.0,"{""6"": 1}"
integrate the catalog with various data services,1,0,,{}
integrate valves,1,1,6.0,"{""6"": 1}"
integrate with APIs,1,0,,{}
integrate with REST/GraphQL APIs,1,0,,{}
integrate with other tools,1,0,,{}
integrate with source control systems,1,0,,{}
interact with managed service providers,1,1,5.0,"{""5"": 1}"
interact with other teams,1,1,9.0,"{""9"": 1}"
interact with vendors,1,1,5.0,"{""5"": 1}"
interface with business continuity plan management,1,1,2.0,"{""2"": 1}"
interface with cross-functional teams,1,1,2.0,"{""2"": 1}"
interface with customers,1,1,2.0,"{""2"": 1}"
interpret complex datasets,1,1,6.0,"{""6"": 1}"
interpret design and production effort,1,0,,{}
interpret technical vulnerability data,1,1,6.0,"{""6"": 1}"
isolate technical issues,1,1,6.0,"{""6"": 1}"
lead ServiceNow programme delivery,1,0,,{}
lead Severe Storm planning,1,1,2.0,"{""2"": 1}"
lead VXLAN deployments,1,0,,{}
lead a group of applied scientists,1,1,8.0,"{""8"": 1}"
lead a stream of work,1,0,,{}
lead a team,3,2,6.0,"{""6"": 2}"
lead complex technical initiatives,1,0,,{}
lead data scientists,1,1,8.0,"{""8"": 1}"
lead design and delivery of integration architectures,1,0,,{}
lead design efforts,1,1,6.0,"{""6"": 1}"
lead design of cloud-based platforms,1,0,,{}
lead development team,1,0,,{}
lead engineering teams,1,1,8.0,"{""8"": 1}"
lead enterprise automation initiatives,1,1,5.0,"{""5"": 1}"
lead evolution of cloud-based platforms,1,0,,{}
lead financial modeling,1,0,,{}
lead forecasting,1,0,,{}
lead forecasting efforts,1,1,8.0,"{""8"": 1}"
lead implementation of cloud-based platforms,1,0,,{}
lead implementation of integration projects,1,1,6.0,"{""6"": 1}"
lead initiatives,1,1,6.0,"{""6"": 1}"
lead investigations,1,1,6.0,"{""6"": 1}"
lead large features from idea to launch,1,1,6.0,"{""6"": 1}"
lead mechanical design,1,1,6.0,"{""6"": 1}"
lead multidisciplinary teams and external partners,1,0,,{}
lead performance analysis,1,0,,{}
lead planning capability,1,0,,{}
lead problem resolution efforts,1,1,2.0,"{""2"": 1}"
lead product development,1,0,,{}
lead product engineering efforts,1,1,6.0,"{""6"": 1}"
lead project meetings,1,1,2.0,"{""2"": 1}"
lead project work streams,1,0,,{}
lead projects,1,0,,{}
lead regional development function,1,0,,{}
lead research,1,1,9.0,"{""9"": 1}"
lead solution architecture,1,1,2.0,"{""2"": 1}"
lead solution design,1,0,,{}
lead solution-architecture initiatives,1,1,3.0,"{""3"": 1}"
lead teams,1,1,8.0,"{""8"": 1}"
lead teams committed to customer impact,1,1,8.0,"{""8"": 1}"
lead teams committed to quality,1,1,8.0,"{""8"": 1}"
lead teams committed to velocity,1,1,8.0,"{""8"": 1}"
lead technical investigations,1,1,6.0,"{""6"": 1}"
lead the join experience,1,0,,{}
lead with empathy,1,0,,{}
learn customer language and industries,1,1,5.0,"{""5"": 1}"
learn from each other,1,1,6.0,"{""6"": 1}"
learn how to deploy and secure systems,1,0,,{}
learn more about company operations,1,1,6.0,"{""6"": 1}"
learn new skills,1,0,,{}
learn new technologies,1,0,,{}
learn plant design,1,0,,{}
learn skills beyond formal role boundaries,1,1,6.0,"{""6"": 1}"
leverage Azure data platforms,1,1,8.0,"{""8"": 1}"
"leverage Java to deliver reliable, scalable solutions",1,0,,{}
"leverage JavaScript to deliver reliable, scalable solutions",1,0,,{}
leverage MS Purview,1,1,8.0,"{""8"": 1}"
leverage Python for solutions,1,1,6.0,"{""6"": 1}"
leverage SQL for solutions,1,1,6.0,"{""6"": 1}"
leverage collective knowledge of sustainable spaces,1,1,6.0,"{""6"": 1}"
leverage data to showcase transformational value,1,0,,{}
"leverage modern frameworks to deliver reliable, scalable solutions",1,0,,{}
leveraging AI to generate insights,1,1,8.0,"{""8"": 1}"
liaise with Business Development team,1,0,,{}
liaise with allied health care team members,1,0,,{}
liaise with clinic team members,1,0,,{}
liaise with learners,1,0,,{}
liaise with research staff,1,0,,{}
license content,1,0,,{}
look after network and tools,1,0,,{}
maintain 24x7x365 network infrastructure,1,0,,{}
maintain AV equipment,1,1,5.0,"{""5"": 1}"
maintain Business Intelligence solutions,1,1,8.0,"{""8"": 1}"
maintain HR software,1,0,,{}
maintain ML pipelines,1,1,6.0,"{""6"": 1}"
maintain Operations and Data Center checklists,1,1,2.0,"{""2"": 1}"
maintain activity tracking databases,1,0,,{}
maintain additional rack power,1,1,2.0,"{""2"": 1}"
maintain and enhance existing platforms,1,0,,{}
maintain and operate procedures,1,1,8.0,"{""8"": 1}"
maintain appearance of shared spaces,1,1,2.0,"{""2"": 1}"
maintain automated test scripts,1,1,6.0,"{""6"": 1}"
maintain consistency across product ecosystem,1,0,,{}
maintain cybersecurity compliances,1,0,,{}
maintain cybersecurity standards,1,0,,{}
maintain data models,1,1,2.0,"{""2"": 1}"
maintain documentation,2,1,6.0,"{""6"": 1}"
maintain equipment,1,1,6.0,"{""6"": 1}"
maintain exceptional attention to detail,1,1,6.0,"{""6"": 1}"
maintain flexibility in scheduling,1,1,2.0,"{""2"": 1}"
maintain high attention to detail,1,0,,{}
maintain hybrid cloud environment,1,1,5.0,"{""5"": 1}"
maintain infrastructure foundation,1,1,5.0,"{""5"": 1}"
maintain interfaces between clinical and enterprise systems,1,0,,{}
maintain internal management platform,1,0,,{}
maintain inventory levels in supply chain,1,1,5.0,"{""5"": 1}"
maintain leading class security practices,1,1,6.0,"{""6"": 1}"
maintain or write plugins for tools,1,0,,{}
maintain performance,1,1,6.0,"{""6"": 1}"
maintain process models,1,1,2.0,"{""2"": 1}"
maintain production efficiency,1,1,6.0,"{""6"": 1}"
maintain professional boundaries,1,1,8.0,"{""8"": 1}"
maintain readiness,1,1,5.0,"{""5"": 1}"
maintain records,1,1,2.0,"{""2"": 1}"
maintain reliability,1,1,6.0,"{""6"": 1}"
maintain scalability,1,1,6.0,"{""6"": 1}"
make a positive impact,1,0,,{}
make an impact at every level of society,1,1,6.0,"{""6"": 1}"
make an impact that matters,1,0,,{}
make automated network changes,1,1,6.0,"{""6"": 1}"
make database management effortless,1,0,,{}
"make digital products more intuitive, easy to use, and aesthetically pleasing",1,1,6.0,"{""6"": 1}"
make meaningful contributions,1,1,6.0,"{""6"": 1}"
make minor adjustments to process,1,1,2.0,"{""2"": 1}"
make observability effortless,1,0,,{}
"make practical, real-world decisions",1,1,6.0,"{""6"": 1}"
manage ServiceNow implementations,1,0,,{}
manage Windows devices,1,0,,{}
manage a team,1,0,,{}
manage agency contracting,1,1,6.0,"{""6"": 1}"
manage agency purchasing,1,1,6.0,"{""6"": 1}"
manage alerting,1,1,5.0,"{""5"": 1}"
manage backup plans,1,1,5.0,"{""5"": 1}"
manage build jobs,1,0,,{}
manage calendars,1,0,,{}
manage client issues,1,1,8.0,"{""8"": 1}"
manage client relationships,1,1,8.0,"{""8"": 1}"
manage clinic schedules,1,0,,{}
manage cloud infrastructure,1,0,,{}
manage cross-functional delivery,1,0,,{}
manage customer service,1,1,5.0,"{""5"": 1}"
manage databases,1,1,8.0,"{""8"": 1}"
manage delivery governance,1,0,,{}
manage demand planning,1,1,5.0,"{""5"": 1}"
manage device lifecycle,1,0,,{}
manage disaster recovery plans,1,1,5.0,"{""5"": 1}"
manage employee data,1,0,,{}
manage employee engagement,1,0,,{}
manage enterprise-grade networks,1,0,,{}
manage environmental performance,1,1,6.0,"{""6"": 1}"
manage facility operations,1,1,6.0,"{""6"": 1}"
manage failover plans,1,1,5.0,"{""5"": 1}"
manage forecasting,1,1,5.0,"{""5"": 1}"
manage heat transfer applications,1,1,6.0,"{""6"": 1}"
manage infrastructure,1,0,,{}
manage inventory management,1,1,5.0,"{""5"": 1}"
manage large CAD databases,1,1,6.0,"{""6"": 1}"
manage learner schedules,1,0,,{}
manage modern endpoint management solutions,1,0,,{}
manage multiple priorities,1,1,2.0,"{""2"": 1}"
manage network switches,1,1,6.0,"{""6"": 1}"
manage organisational change,1,0,,{}
manage payroll,1,0,,{}
manage performance,1,0,,{}
manage product lifecycle,1,0,,{}
manage programming projects,1,1,2.0,"{""2"": 1}"
manage projects,2,1,9.0,"{""9"": 1}"
manage recruitment,1,0,,{}
manage relationships,1,0,,{}
manage releases,1,0,,{}
manage scalable real-time data streaming platforms,1,0,,{}
manage scheduling,1,0,,{}
manage source control,1,0,,{}
manage stakeholder communication,1,1,8.0,"{""8"": 1}"
manage stakeholders,1,0,,{}
manage thermal management,1,1,6.0,"{""6"": 1}"
manage time,2,2,2.0,"{""2"": 1, ""6"": 1}"
manage training,1,0,,{}
manage vendor relationships,1,1,6.0,"{""6"": 1}"
manage work of other employees,1,1,5.0,"{""5"": 1}"
manipulate the Document Object Model,1,1,6.0,"{""6"": 1}"
manufacture products,1,0,,{}
map out competitor sales organisations,1,0,,{}
maximize resource development,1,1,6.0,"{""6"": 1}"
measure data-driven insights,1,0,,{}
measure key financial targets,1,1,6.0,"{""6"": 1}"
meet engineering specifications,1,1,2.0,"{""2"": 1}"
meet evolving customer needs,1,1,6.0,"{""6"": 1}"
meet evolving operational needs,1,1,6.0,"{""6"": 1}"
meet evolving regulatory needs,1,1,6.0,"{""6"": 1}"
meet production requirements,1,1,2.0,"{""2"": 1}"
mentor junior developers,1,1,6.0,"{""6"": 1}"
mentor junior staff,2,2,6.0,"{""6"": 2}"
mentor other recruiters,1,0,,{}
mentor other team members,1,1,6.0,"{""6"": 1}"
mentor students,1,1,9.0,"{""9"": 1}"
mentor subordinate group,1,1,5.0,"{""5"": 1}"
mentor team members,1,1,6.0,"{""6"": 1}"
mentor top talent,1,1,8.0,"{""8"": 1}"
migrate applications from SCCM to Intune,1,0,,{}
minimize downtime,1,1,6.0,"{""6"": 1}"
mix sound through a mixing console,1,1,5.0,"{""5"": 1}"
model content metadata,1,1,6.0,"{""6"": 1}"
model core values in client interactions,1,1,6.0,"{""6"": 1}"
modify CI/CD pipelines,1,0,,{}
monitor DRC runs,1,1,6.0,"{""6"": 1}"
monitor IT Change Management,1,1,2.0,"{""2"": 1}"
monitor SLIs,1,1,5.0,"{""5"": 1}"
monitor deliveries,1,1,2.0,"{""2"": 1}"
monitor disclosure requirements,1,1,6.0,"{""6"": 1}"
monitor emerging environmental regulations,1,1,6.0,"{""6"": 1}"
monitor environmental best practices,1,1,6.0,"{""6"": 1}"
monitor integration services,1,1,6.0,"{""6"": 1}"
monitor inventory and place orders,1,1,2.0,"{""2"": 1}"
monitor middleware performance,1,1,6.0,"{""6"": 1}"
monitor priorities,1,1,2.0,"{""2"": 1}"
monitor progress of change activity,1,0,,{}
monitor progress of impact assessments,1,0,,{}
monitor system health,1,0,,{}
motivate other team members,1,1,6.0,"{""6"": 1}"
"move projects through client plant design, build, factory acceptance testing, and installation",1,0,,{}
multi task and meet deadlines,1,1,8.0,"{""8"": 1}"
navigate ambiguity,1,1,6.0,"{""6"": 1}"
navigate complex design obstacles,1,0,,{}
navigate unexpected challenges,1,1,6.0,"{""6"": 1}"
negotiate SLOs,1,1,5.0,"{""5"": 1}"
network with peers,1,1,6.0,"{""6"": 1}"
obtain certifications,1,0,,{}
operate AI-enabled workflows,1,0,,{}
operate AV equipment,1,1,5.0,"{""5"": 1}"
operate CI/CD pipelines,1,0,,{}
operate CNC machines,1,1,2.0,"{""2"": 1}"
operate Docker,1,0,,{}
operate EDM machines,1,1,2.0,"{""2"": 1}"
operate Kubernetes,1,0,,{}
operate SCCM Intune co-management,1,0,,{}
operate advanced artificial intelligence solutions,1,1,6.0,"{""6"": 1}"
operate audio systems for concerts and events,1,1,2.0,"{""2"": 1}"
operate code,1,1,6.0,"{""6"": 1}"
operate data solutions,1,1,6.0,"{""6"": 1}"
operate data stores,1,0,,{}
operate distributed systems,2,1,6.0,"{""6"": 1}"
operate in structured quarterly reporting cycles,1,0,,{}
operate large-scale SaaS and cloud services,1,0,,{}
optimise marketing investment,1,1,6.0,"{""6"": 1}"
optimise the funnel,1,0,,{}
optimize CNC machining operations,1,1,2.0,"{""2"": 1}"
optimize frameworks,1,1,6.0,"{""6"": 1}"
optimize global offer launch preparation,1,1,6.0,"{""6"": 1}"
optimize iOS apps,1,1,6.0,"{""6"": 1}"
optimize industrial processes,1,1,6.0,"{""6"": 1}"
